State/Centre,Type,Board,Grade,Subject,Medium,Textbook Name,Chapter No.,Chapter Name,Chapter - Concept Name,Explanation,Practice,Combined,Selection process for video,Topic Name,Topic - Concept Name,Sub-Topic,Explanation,Practice,Combined,Selection process for video,Reviewed ,Comments
Centre,K-12,CBSE,Class 7,Geography,English,Our Environment,1,Environment,Environment,https://community.ekstep.in/preview/content/do_31257982110777344029549, ,,C3,NA,NA,NA,https://diksha.gov.in/play/content/do_31257982112383795219823,https://diksha.gov.in/play/content/do_31257982111730073629550, ,"C5,C5",Reviewed ,"This is assessment Q, not sure how useful as practice content for student, can be useful for teacher"
Centre,K-12,CBSE,Class 7,Geography,English,Our Environment,1,Environment,Environment,,,,,Natural Environment,Natural Environment,NA,https://diksha.gov.in/play/content/do_31257982114406400019825, ,,C5,,
Centre,K-12,CBSE,Class 7,Geography,English,Our Environment,1,Environment,Environment,,,,,Natural Environment,Natural Environment,What is ecosystem?,https://diksha.gov.in/play/content/do_31257982117886361619826, ,,C5,,
Centre,K-12,CBSE,Class 7,Geography,English,Our Environment,1,Environment,Environment,,,,,Human Environment,Human Environment,NA,https://community.ekstep.in/preview/content/do_31257982123384012829554,https://community.ekstep.in/preview/content/do_31257982125314048019830, ,"C3,C5",Reviewed ,"This is assessment Q, not sure how useful as practice content for student, can be useful for teacher"
Centre,K-12,CBSE,Class 7,Geography,English,Our Environment,2,Inside Our Earth,Layers of the earth, ,https://diksha.gov.in/play/content/do_312463865956196352214425, ,C4,NA,NA,NA,,,,,Reviewed ,"C4 is correct, but this content is has both explanation and practice, so it is Combined"
Centre,K-12,CBSE,Class 7,Geography,English,Our Environment,2,Inside Our Earth,Layers of the earth, ,,,,Interior of the Earth,Interior of the Earth,NA,https://community.ekstep.in/preview/content/do_31257982128776806429558, ,,C3,,
Centre,K-12,CBSE,Class 7,Geography,English,Our Environment,2,Inside Our Earth,Layers of the earth, ,,,,Rocks and Minerals,Rocks and Minerals,NA,https://community.ekstep.in/preview/content/do_31257982135463116819835, ,,C5,,
Centre,K-12,CBSE,Class 7,Geography,English,Our Environment,3,Our Changing Earth,Earth Movements, ,,,,NA,NA,NA,,,,,,
Centre,K-12,CBSE,Class 7,Geography,English,Our Environment,3,Our Changing Earth,Earth Movements, ,,,,Earthquake,Earthquake Hits Bhuj,NA,https://diksha.gov.in/play/content/do_31257982138935705629562, ,,C5,Reviewed ,
Centre,K-12,CBSE,Class 7,Geography,English,Our Environment,3,Our Changing Earth,Earth Movements, ,,,,Earthquake Preparedness,Earthquake Preparedness,NA,,,,,,
Centre,K-12,CBSE,Class 7,Geography,English,Our Environment,3,Our Changing Earth,Earth Movements, ,,,,Major Land Forms,Land Forms,NA,,,,,,
Centre,K-12,CBSE,Class 7,Geography,English,Our Environment,3,Our Changing Earth,Earth Movements, ,,,,Major Land Forms,Land Forms,Work of a River,https://community.ekstep.in/preview/content/do_31257982145299251229566, ,,C1,,
Centre,K-12,CBSE,Class 7,Geography,English,Our Environment,3,Our Changing Earth,Earth Movements, ,,,,Major Land Forms,Land Forms,Work of Sea Waves,https://community.ekstep.in/preview/content/do_31257982149532876829568, ,,C1,Reviewed ,
Centre,K-12,CBSE,Class 7,Geography,English,Our Environment,3,Our Changing Earth,Earth Movements, ,,,,Major Land Forms,Land Forms,Work of Ice,https://community.ekstep.in/preview/content/do_31257982152976793629570, ,,C1,,
Centre,K-12,CBSE,Class 7,Geography,English,Our Environment,3,Our Changing Earth,Earth Movements, ,,,,Major Land Forms,Land Forms,Work of wind,https://community.ekstep.in/preview/content/do_31257982155152588819844, ,,C1,,
Centre,K-12,CBSE,Class 7,Geography,English,Our Environment,4,Air,Air,https://diksha.gov.in/play/content/do_31257982156670566419846, ,,C3,NA,NA,NA,,,,,Reviewed ,
Centre,K-12,CBSE,Class 7,Geography,English,Our Environment,4,Air,Air,,,,,Composition of the atmosphere,Composition of the atmosphere,NA,,,,,,
Centre,K-12,CBSE,Class 7,Geography,English,Our Environment,4,Air,Air,,,,,Structure of the atmosphere,Structure of the atmosphere,NA,https://community.ekstep.in/preview/content/do_31257982172572876829578, ,,C5,,
Centre,K-12,CBSE,Class 7,Geography,English,Our Environment,4,Air,Air,,,,,Weather and climate,Weather and climate,NA,https://diksha.gov.in/play/content/do_31257982173409280029579, ,,C5,,
Centre,K-12,CBSE,Class 7,Geography,English,Our Environment,4,Air,Air,,,,,Weather and climate,Weather and climate,Temperature,https://diksha.gov.in/play/content/do_31257982180628889619855, ,,C3,,
Centre,K-12,CBSE,Class 7,Geography,English,Our Environment,4,Air,Air,,,,,Weather and climate,Weather and climate,Air Pressure,,https://diksha.gov.in/play/content/do_31257982185362227219857, ,C5,Reviewed,"Ok, but very high for this grade"
Centre,K-12,CBSE,Class 7,Geography,English,Our Environment,4,Air,Air,,,,,Weather and climate,Weather and climate,Wind,https://diksha.gov.in/play/content/do_31257982188364595219859, ,,C3,Reviewed,
Centre,K-12,CBSE,Class 7,Geography,English,Our Environment,4,Air,Air,,,,,Cyclone – Nature’s Fury,Cyclone in Odisha,NA,https://diksha.gov.in/play/content/do_31257982193863884829591, ,,C3,,
Centre,K-12,CBSE,Class 7,Geography,English,Our Environment,4,Air,Air,,,,,Weather and climate,Weather and climate,Moisture,https://diksha.gov.in/play/content/do_31257982199085465629594, ,,C3,Reviewed,
Centre,K-12,CBSE,Class 7,Geography,English,Our Environment,5,Water,Water,https://diksha.gov.in/play/content/do_31257982202197606429596, ,,C3,NA,NA,NA,,,,,,
Centre,K-12,CBSE,Class 7,Geography,English,Our Environment,5,Water,Water,,,,,Distribution of water bodies,Distribution of water bodies,NA,https://diksha.gov.in/play/content/do_31257982203967078429598, ,,C5,,
Centre,K-12,CBSE,Class 7,Geography,English,Our Environment,5,Water,Water,,,,,Ocean circulation,Ocean circulation,NA,https://community.ekstep.in/preview/content/do_31257982207574835219864, ,,C5,,
Centre,K-12,CBSE,Class 7,Geography,English,Our Environment,5,Water,Water,,,,,Ocean circulation,Ocean circulation,Waves,https://community.ekstep.in/preview/content/do_31257982212233625629603, ,,C1,Reviewed,
Centre,K-12,CBSE,Class 7,Geography,English,Our Environment,5,Water,Water,,,,,Tsunami – The Earth’s Pandemonium,Tsunami in the Indian Ocean,NA,https://diksha.gov.in/play/content/do_31257982213161779229604, ,,C5,Reviewed,
Centre,K-12,CBSE,Class 7,Geography,English,Our Environment,5,Water,Water,,,,,Ocean circulation,Ocean circulation,Tides,https://community.ekstep.in/preview/content/do_31257982215680819229606, ,,C5,,
Centre,K-12,CBSE,Class 7,Geography,English,Our Environment,5,Water,Water,,,,,Ocean currents,Ocean currents,NA,https://diksha.gov.in/play/content/do_31257982219273830419867, ,,C5,Reviewed,
Centre,K-12,CBSE,Class 7,Geography,English,Our Environment,6,Natural Vegetation and Wild Life,Natural Vegetation and Wild Life, ,,,,NA,NA,NA,,,,,,
Centre,K-12,CBSE,Class 7,Geography,English,Our Environment,6,Natural Vegetation and Wild Life,Natural Vegetation and Wild Life, ,,,,Forests,Type of Forests,Tropical Evergreen Forests, ,,,,,
Centre,K-12,CBSE,Class 7,Geography,English,Our Environment,6,Natural Vegetation and Wild Life,Natural Vegetation and Wild Life, ,,,,Forests,Type of Forests,Tropical Deciduous Forests, ,,,,,
Centre,K-12,CBSE,Class 7,Geography,English,Our Environment,6,Natural Vegetation and Wild Life,Natural Vegetation and Wild Life, ,,,,Forests,Type of Forests,Temperate Evergreen Forests, ,,,,,
Centre,K-12,CBSE,Class 7,Geography,English,Our Environment,6,Natural Vegetation and Wild Life,Natural Vegetation and Wild Life, ,,,,Forests,Type of Forests,Temperate Deciduous Forests, ,,,,,
Centre,K-12,CBSE,Class 7,Geography,English,Our Environment,6,Natural Vegetation and Wild Life,Natural Vegetation and Wild Life, ,,,,Forests,Type of Forests,Mediterranean Vegetation, ,,,,,
Centre,K-12,CBSE,Class 7,Geography,English,Our Environment,6,Natural Vegetation and Wild Life,Natural Vegetation and Wild Life, ,,,,Forests,Type of Forests,Coniferous Forests, ,,,,,
Centre,K-12,CBSE,Class 7,Geography,English,Our Environment,6,Natural Vegetation and Wild Life,Natural Vegetation and Wild Life, ,,,,Grasslands,Grasslands,NA,,,,,,
Centre,K-12,CBSE,Class 7,Geography,English,Our Environment,7,"Human Environment-Settlement, Transport and Communication",Human Environment, ,,,,NA,NA,NA,,,,,,
Centre,K-12,CBSE,Class 7,Geography,English,Our Environment,7,"Human Environment-Settlement, Transport and Communication",Human Environment, ,,,,Transport,Transport,NA,,,,,,
Centre,K-12,CBSE,Class 7,Geography,English,Our Environment,7,"Human Environment-Settlement, Transport and Communication",Human Environment, ,,,,Roadways,Roadways,NA,,,,,,
Centre,K-12,CBSE,Class 7,Geography,English,Our Environment,7,"Human Environment-Settlement, Transport and Communication",Human Environment, ,,,,Railways,Railways,NA,,,,,,
Centre,K-12,CBSE,Class 7,Geography,English,Our Environment,7,"Human Environment-Settlement, Transport and Communication",Human Environment, ,,,,Waterways,Waterways,NA,,,,,,
Centre,K-12,CBSE,Class 7,Geography,English,Our Environment,7,"Human Environment-Settlement, Transport and Communication",Human Environment, ,,,,Airways,Airways,NA,,,,,,
Centre,K-12,CBSE,Class 7,Geography,English,Our Environment,7,"Human Environment-Settlement, Transport and Communication",Human Environment, ,,,,Communication,Communication,NA,,,,,,
